,Title,Link
0,Honor X9B 5G 12GB-256GB,https://fptshop.com.vn/dien-thoai/honor-x9b
1,Xiaomi Poco M6 Pro 8GB-256GB,https://fptshop.com.vn/dien-thoai/xiaomi-poco-m6-pro
2,Realme C51 6GB-256GB,https://fptshop.com.vn/dien-thoai/realme-c51?dung-luong=6gb-256gb
3,Samsung Galaxy S22 5G 128GB,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s22
4,OPPO Reno11 F 5G 8GB-256GB,https://fptshop.com.vn/dien-thoai/oppo-reno11-f
5,Xiaomi Redmi Note 13 6GB-128GB,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-note-13
6,iPhone 15 Pro Max 256GB,https://fptshop.com.vn/dien-thoai/iphone-15-pro-max?dung-luong=256gb
7,Samsung Galaxy S24 Ultra 5G 256GB,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s24-ultra?dung-luong=256gb
8,OPPO A18 4GB-128GB,https://fptshop.com.vn/dien-thoai/oppo-a18
9,Samsung Galaxy A15 128GB,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a15
10,Xiaomi Redmi 13C 6GB-128GB,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-13c
11,Samsung Galaxy S23 Plus 5G 256GB,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s23-plus?dung-luong=256-gb
12,iPhone 14 Pro Max 128GB,https://fptshop.com.vn/dien-thoai/iphone-14-pro-max?dung-luong=128gb
13,Honor X5 Plus 4GB-64GB,https://fptshop.com.vn/dien-thoai/honor-x5-plus
14,Samsung Galaxy Z Flip4 5G 128GB,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-flip4?dung-luong=128-gb
15,Xiaomi Redmi A2 2GB-32GB,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-a2
16,Samsung Galaxy A05s 128GB,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a05s
17,OPPO A58 6GB-128GB,https://fptshop.com.vn/dien-thoai/oppo-a58-4g
18,Honor X6A 4GB-128GB,https://fptshop.com.vn/dien-thoai/honor-x6a
19,Xiaomi Redmi 12C 4GB-64GB,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-12c
20,Samsung Galaxy A14 4G,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a14
21,Samsung Galaxy A23 5G,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a23?ho-tro-mang=5g
22,OPPO A17k 3GB-64GB,https://fptshop.com.vn/dien-thoai/oppo-a17k
23,Nokia 105 DS Pro 4G,https://fptshop.com.vn/dien-thoai/nokia-105-ds-pro-4g
24,Masstel Izi 15 4G,https://fptshop.com.vn/dien-thoai/masstel-izi-15
25,Samsung Galaxy Z Fold5 5G 256GB,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-fold5?dung-luong=256-gb
26,Samsung Galaxy Z Flip5 5G 256GB,https://fptshop.com.vn/dien-thoai/samsung-galaxy-z-flip5?dung-luong=256-gb
27,iPhone 12 64GB,https://fptshop.com.vn/dien-thoai/iphone-12?dung-luong=64gb
28,iPhone 11 64GB,https://fptshop.com.vn/dien-thoai/iphone-11-64gb
29,OPPO Reno10 5G 128GB,https://fptshop.com.vn/dien-thoai/oppo-reno10-5g?dung-luong=128-gb
30,OPPO Reno8 T 4G 256GB,https://fptshop.com.vn/dien-thoai/oppo-reno8-t?ho-tro-mang=4g
31,Samsung Galaxy A34 5G,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a34-5g
32,Honor 90 Lite 5G 8GB-256GB,https://fptshop.com.vn/dien-thoai/honor-90-lite
