,Title,Link
0,iPhone 15 Pro Max,https://www.thegioididong.com/dtdd/iphone-15-pro-max
1,iPhone 15 Pro,https://www.thegioididong.com/dtdd/iphone-15-pro
2,iPhone 15 Plus,https://www.thegioididong.com/dtdd/iphone-15-plus
3,iPhone 15,https://www.thegioididong.com/dtdd/iphone-15
4,Samsung Galaxy S24 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g
5,Samsung Galaxy S24+ 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-plus-5g
6,Samsung Galaxy S24 Ultra 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g
7,Xiaomi 14 5G,https://www.thegioididong.com/dtdd/xiaomi-14-5g-256
8,Xiaomi Redmi Note 13 Pro,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro
9,OPPO Reno11 5G,https://www.thegioididong.com/dtdd/oppo-reno11
10,vivo Y17s,https://www.thegioididong.com/dtdd/vivo-y17s-4-64
11,realme Note 50,https://www.thegioididong.com/dtdd/realme-note-50-64gb
12,iPhone 13 128GB,https://www.thegioididong.com/dtdd/iphone-13
13,Xiaomi Redmi Note 13,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-6gb-128gb
14,realme C55,https://www.thegioididong.com/dtdd/realme-c55
15,iPhone 11,https://www.thegioididong.com/dtdd/iphone-11
16,OPPO Reno11 F 5G,https://www.thegioididong.com/dtdd/oppo-reno11-f-5g
17,vivo Y36,https://www.thegioididong.com/dtdd/vivo-y36-128gb?utm_flashsale=1
18,realme C67,https://www.thegioididong.com/dtdd/realme-c67?utm_flashsale=1
19,realme 11,https://www.thegioididong.com/dtdd/realme-11-128gb?utm_flashsale=1
20,Samsung Galaxy S23 FE 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-fe-5g
21,iPhone 12,https://www.thegioididong.com/dtdd/iphone-12
22,Samsung Galaxy A25 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-a25-8gb
23,realme C53,https://www.thegioididong.com/dtdd/realme-c53?utm_flashsale=1
24,OPPO A18,https://www.thegioididong.com/dtdd/oppo-a18
25,iPhone 14 Pro Max,https://www.thegioididong.com/dtdd/iphone-14-pro-max
26,OPPO A38,https://www.thegioididong.com/dtdd/oppo-a38-6gb
27,OPPO A57 128GB,https://www.thegioididong.com/dtdd/oppo-a57-128gb?utm_flashsale=1
28,Samsung Galaxy A14 6GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a14
29,OPPO Reno11 Pro 5G,https://www.thegioididong.com/dtdd/oppo-reno11-pro
30,realme C30s (3GB/64GB),https://www.thegioididong.com/dtdd/realme-c30s-3gb-64gb
31,Xiaomi Redmi Note 13 Pro 5G,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro-5g
32,Samsung Galaxy A15 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-a15-5g
33,OPPO Reno10 5G,https://www.thegioididong.com/dtdd/oppo-reno10-5g-128gb?utm_flashsale=1
34,Samsung Galaxy S23 Ultra 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-ultra
35,vivo Y22s,https://www.thegioididong.com/dtdd/vivo-y22s-8gb?utm_flashsale=1
36,OPPO Reno10 Pro 5G,https://www.thegioididong.com/dtdd/oppo-reno10-pro
37,OPPO Reno10 Pro+ 5G,https://www.thegioididong.com/dtdd/oppo-reno10-pro-plus
38,Xiaomi Redmi Note 13 Pro+ 5G,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro-plus
39,OPPO Reno8 T,https://www.thegioididong.com/dtdd/oppo-reno8-t?utm_flashsale=1
40,OPPO Reno8 Pro 5G,https://www.thegioididong.com/dtdd/oppo-reno8-pro?utm_flashsale=1
41,OPPO Find N3 5G,https://www.thegioididong.com/dtdd/oppo-find-n3
42,Samsung Galaxy Z Fold5 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold5
43,OPPO Find N3 Flip 5G,https://www.thegioididong.com/dtdd/oppo-find-n3-flip
44,iPhone 14 Plus,https://www.thegioididong.com/dtdd/iphone-14-plus
45,iPhone 14,https://www.thegioididong.com/dtdd/iphone-14
46,Samsung Galaxy Z Flip5 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip5
47,OPPO Find N2 Flip 5G,https://www.thegioididong.com/dtdd/oppo-find-n2-flip?utm_flashsale=1
48,realme 11 Pro+ 5G,https://www.thegioididong.com/dtdd/realme-11-pro-plus-5g
49,Xiaomi 13T Pro 5G,https://www.thegioididong.com/dtdd/xiaomi-13t-pro?utm_flashsale=1
50,vivo V29 5G,https://www.thegioididong.com/dtdd/vivo-v29-5g
51,Samsung Galaxy M54 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-m54
52,vivo V25 Pro 5G,https://www.thegioididong.com/dtdd/vivo-v25-pro-5g?utm_flashsale=1
53,realme 11 Pro 5G,https://www.thegioididong.com/dtdd/realme-11-pro?utm_flashsale=1
54,vivo V29e 5G 12GB,https://www.thegioididong.com/dtdd/vivo-v29e-5g
55,Xiaomi 13T 5G,https://www.thegioididong.com/dtdd/xiaomi-13t-12gb
56,vivo V27e,https://www.thegioididong.com/dtdd/vivo-v27e
57,OPPO A98 5G,https://www.thegioididong.com/dtdd/oppo-a98-5g
58,Samsung Galaxy A35 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-a33-5g-128gb
59,Samsung Galaxy A54 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-a54-5g-128gb
60,OPPO Reno8 T 5G,https://www.thegioididong.com/dtdd/oppo-reno8-t-5g?utm_flashsale=1
61,Samsung Galaxy M34 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-m34-5g
62,OPPO A79 5G,https://www.thegioididong.com/dtdd/oppo-a79-5g
63,Samsung Galaxy A34 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-a34-5g-128gb
64,OPPO A78,https://www.thegioididong.com/dtdd/oppo-a78
65,realme 10,https://www.thegioididong.com/dtdd/realme-10
66,Xiaomi Redmi Note 12 Pro 128GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-12-pro-4g?utm_flashsale=1
67,Samsung Galaxy A15,https://www.thegioididong.com/dtdd/samsung-galaxy-a15
68,OPPO A58,https://www.thegioididong.com/dtdd/oppo-a58-4g
69,vivo Y35,https://www.thegioididong.com/dtdd/vivo-y35-2022?utm_flashsale=1
70,OPPO A77s,https://www.thegioididong.com/dtdd/oppo-a77s
71,Samsung Galaxy A24,https://www.thegioididong.com/dtdd/samsung-galaxy-a24-8gb
72,Samsung Galaxy A05s,https://www.thegioididong.com/dtdd/samsung-galaxy-a05s-6gb
73,Samsung Galaxy A14 5G,https://www.thegioididong.com/dtdd/samsung-galaxy-a14-5g
74,Xiaomi Redmi 12,https://www.thegioididong.com/dtdd/xiaomi-redmi-12?utm_flashsale=1
75,Samsung Galaxy A05,https://www.thegioididong.com/dtdd/samsung-galaxy-a05-4gb
76,OPPO A17,https://www.thegioididong.com/dtdd/oppo-a17?utm_flashsale=1
77,realme C51,https://www.thegioididong.com/dtdd/realme-c51
78,Xiaomi Redmi 13C,https://www.thegioididong.com/dtdd/xiaomi-redmi-13c-6gb
79,OPPO A17K,https://www.thegioididong.com/dtdd/oppo-a17k
80,vivo Y02T,https://www.thegioididong.com/dtdd/vivo-y02t
81,realme C60,https://www.thegioididong.com/dtdd/realme-c60
82,Samsung Galaxy A04 (4GB/64GB),https://www.thegioididong.com/dtdd/samsung-galaxy-a04-4gb-64gb
83,Samsung Galaxy A04s,https://www.thegioididong.com/dtdd/samsung-galaxy-a04s
84,Xiaomi Redmi A2 series,https://www.thegioididong.com/dtdd/xiaomi-redmi-a2
85,Itel L6502,https://www.thegioididong.com/dtdd/itel-l6502
86,Nokia 8210 4G,https://www.thegioididong.com/dtdd/nokia-8210-4g
87,Nokia 215 4G,https://www.thegioididong.com/dtdd/nokia-215
88,Mobell F309 4G,https://www.thegioididong.com/dtdd/mobell-f309
89,Nokia 110 4G Pro,https://www.thegioididong.com/dtdd/nokia-110-4g-pro
90,Masstel FAMI 60 4G,https://www.thegioididong.com/dtdd/masstel-fami-60
91,Mobell Rock 4 4G,https://www.thegioididong.com/dtdd/mobell-rock-4
92,Nokia 105 4G Pro,https://www.thegioididong.com/dtdd/nokia-105-4g-pro
93,Nokia 105,https://www.thegioididong.com/dtdd/nokia-105-4g
94,Mobell M539 4G,https://www.thegioididong.com/dtdd/mobell-m539
95,Mobell F209 4G,https://www.thegioididong.com/dtdd/mobell-f209
96,Itel it9210,https://www.thegioididong.com/dtdd/itel-it9210
97,Masstel Lux 20,https://www.thegioididong.com/dtdd/masstel-lux-20
98,Masstel Lux 10,https://www.thegioididong.com/dtdd/masstel-lux-10
99,Mobell M331 4G,https://www.thegioididong.com/dtdd/mobell-m331
100,Masstel IZI 26,https://www.thegioididong.com/dtdd/masstel-izi-26
101,Itel it9010,https://www.thegioididong.com/dtdd/itel-it9010
102,Masstel IZI 10 4G,https://www.thegioididong.com/dtdd/masstel-izi-10
103,Mobell M239,https://www.thegioididong.com/dtdd/mobell-m239
104,Xiaomi Redmi A3,https://www.thegioididong.com/dtdd/xiaomi-redmi-a3
